Energy,Total Scattered Spectrum
0.1000000015,2115260557.8515644
0.1099999994,4661709396.265954
0.1199999973,1351787496.3434415
0.1299999952,984941380.77618
0.1400000006,435298739.75525767
0.150000006,271123399.3778286
0.1599999964,190179172.99865025
0.1700000018,163996803.41709638
0.1800000072,155513057.29698065
0.1899999976,159498667.09249935
0.200000003,142790867.4215525
0.2099999934,143668396.5550129
0.2199999988,127790642.3385733
0.2300000042,134818903.39675578
0.2399999946,129386576.47338556
0.25,131097212.4392789
0.2599999905,133221539.40110894
0.2700000107,151727427.59293672
0.2800000012,162964389.48025614
0.2899999917,142472775.4931123
0.3000000119,165218650.98746666
0.3100000024,129086237.63320456
0.3199999928,105907251.32898109
0.3300000131,137804876.98426148
0.3400000036,108879033.34790152
0.349999994,137715878.04946816
0.3600000143,98430650.19908324
0.3700000048,155906066.64225522
0.3799999952,118712638.49490406
0.3899999857,83848986.56668569
0.400000006,88710856.63457249
0.4099999964,96193418.53305234
0.4199999869,74546319.15510176
0.4300000072,73417441.46430708
0.4399999976,80503731.01077057
0.4499999881,67971877.34067181
0.4600000083,70687812.36573672
0.4699999988,63203273.84309233
0.4799999893,68305751.84758714
0.4900000095,62409116.57417314
0.5,88128649.34691721
0.5099999905,65426972.42157527
0.5199999809,60207030.604707584
0.5299999714,60591351.07908188
0.5400000215,57921329.22519232
0.5500000119,53265011.88244232
0.5600000024,58333054.44972716
0.5699999928,55736287.91267005
0.5799999833,49426735.4063848
0.5899999738,55524611.93642015
0.6000000238,48066015.20618106
0.6100000143,52072541.40359844
0.6200000048,47026654.88385663
0.6299999952,71680341.8412299
0.6399999857,42403882.66402676
0.6499999762,245827958.97702152
0.6600000262,56223943.0231669
0.6700000167,47802998.247236766
0.6800000072,47165548.79115499
0.6899999976,40326832.767452486
0.6999999881,121501881.20944884
0.7099999785,46488573.18399161
0.7200000286,39367670.42227984
0.7300000191,226118022.0439271
0.7400000095,133376165.11150792
0.75,42631347.32824735
0.7599999905,143054855.84416118
0.7699999809,427158664.6962386
0.7799999714,136636988.4589391
0.7900000215,122142553.11011614
0.8000000119,78837234.59291503
0.8100000024,124354464.5077843
0.8199999928,223187961.16899723
0.8299999833,378106130.3072172
0.8399999738,212877552.8611096
0.8500000238,246444800.79664144
0.8600000143,338231488.6520011
0.8700000048,582003258.859476
0.8799999952,303309889.19965696
0.8899999857,321490783.96239483
0.8999999762,482835259.30642873
0.9100000262,341938918.65789366
0.9200000167,1034739244.3153251
0.9300000072,323551878.91274595
0.9399999976,400270588.6997669
0.9499999881,366130419.1570056
0.9599999785,458607518.6608297
0.9700000286,1175307897.660011
0.9800000191,175427886.44915897
0.9900000095,366954276.1141361
1.0,501958228.3424351
1.00999999,993073233.6075528
1.019999981,485418655.45326674
1.029999971,174939209.42209238
1.039999962,363225905.9198232
1.049999952,569953978.2677408
1.059999943,372484816.5059494
1.070000052,162084137.9852204
1.080000043,237653328.5684954
1.090000033,188122363.75330943
1.100000024,153336856.98901805
1.110000014,121358127.09271646
1.120000005,84866597.58564216
1.129999995,255552403.04429063
1.139999986,37081900.35244834
1.149999976,101986274.06888756
1.159999967,83385406.57044269
1.169999957,99254593.65892582
1.179999948,49440737.96903718
1.190000057,41154557.94129643
1.200000048,50789477.85553706
1.210000038,36894880.41100709
1.220000029,32645380.78112691
1.230000019,33280406.62039043
1.24000001,57473870.832203
1.25,32247416.852482542
1.25999999,75675951.1037723
1.269999981,26214582.88282232
1.279999971,56153851.39839194
1.289999962,28684383.71419968
1.299999952,54499987.76765911
1.309999943,126684759.48467104
1.320000052,39730316.18425176
1.330000043,47069766.28091724
1.340000033,50826025.987471886
1.350000024,118141946.74941084
1.360000014,43673870.97264783
1.370000005,57153041.74826248
1.379999995,59146782.726208
1.389999986,24276294.82717972
1.399999976,16316284.672899803
1.409999967,35287549.34827713
1.419999957,39706698.209600896
1.429999948,14421176.583264884
1.440000057,22840651.719316818
1.450000048,50289054.24363742
1.460000038,12740680.508444771
1.470000029,236584581.51326644
1.480000019,15189630.38764096
1.49000001,39393569.56386201
1.5,11696948.04212439
1.50999999,13217779.986315928
1.519999981,16070674.85198824
1.529999971,9768791.693119287
1.539999962,9421056.217007048
1.549999952,16346011.729216056
1.559999943,13525331.407138392
1.570000052,19854488.40555309
1.580000043,23055910.50708335
1.590000033,9974068.97525923
1.600000024,21080530.99314972
1.610000014,9649237.416129172
1.620000005,8100288.712168646
1.629999995,7379701.178423248
1.639999986,7531977.701542563
1.649999976,6957739.969232521
1.659999967,16916405.91321756
1.669999957,7608718.612394704
1.679999948,7690396.654749394
1.690000057,6698203.486767898
1.700000048,8800396.948297415
1.710000038,6820761.816460884
1.720000029,6821043.74790796
1.730000019,27042283.956913933
1.74000001,31318032.331395183
1.75,5901105.891415564
1.75999999,5920410.631185427
1.769999981,5662387.812047065
1.779999971,5664482.165924748
1.789999962,5444991.509419784
1.799999952,5624103.90399099
1.809999943,5348447.35096684
1.820000052,5381489.906072553
1.830000043,5643403.325673673
1.840000033,99359655.66331038
1.850000024,42451351.25193122
1.860000014,22746435.616850328
1.870000005,176042668.6381864
1.879999995,8076333.766004091
1.889999986,4611102.327885464
1.899999976,4569211.868574556
1.909999967,4459804.2232156135
1.919999957,4408403.888298199
1.929999948,4277588.934711735
1.940000057,4210371.205646078
1.950000048,4366577.696059093
1.960000038,4600293.10683939
1.970000029,4321982.682132473
1.980000019,9101489.110593982
1.99000001,6660997.148484312
2.0,58978846.000007264
2.00999999,109664124.21444334
2.019999981,3967649.905711559
2.029999971,3942488.400316135
2.039999962,3837587.649883486
2.049999952,5725108.13537418
2.059999943,3741321.738629579
2.069999933,3665681.5560427774
2.079999924,3608093.753660281
2.089999914,3560153.269807446
2.099999905,3500781.779903775
2.109999895,3469906.7391946795
2.119999886,3767053.7608404094
2.130000114,4803783.203327913
2.140000105,3711745.0938173495
2.150000095,4061062.492769928
2.160000086,3757237.355658762
2.170000076,3119694.055307011
2.180000067,25935801.91141118
2.190000057,3018014.07305898
2.200000048,2969319.086131812
2.210000038,3175710.460512929
2.220000029,2876531.324571444
2.230000019,3411058.1387038804
2.24000001,3002573.073578574
2.25,2806014.142662861
2.25999999,2690576.8769703056
2.269999981,2948254.408060797
2.279999971,2698514.797193303
2.289999962,10144605.796982905
2.299999952,3000256.3696634453
2.309999943,2614665.583143768
2.319999933,2728794.6876779883
2.329999924,2625614.971684293
2.339999914,2588395.2321165297
2.349999905,5948917.339645933
2.359999895,2298012.474657901
2.369999886,2657008.8206666964
2.380000114,17233167.94391501
2.390000105,2424630.0729367137
2.400000095,2280350.2843379606
2.410000086,2115054.3542347807
2.420000076,2278955.0899098567
2.430000067,19837823.09183483
2.440000057,3280502.2966925832
2.450000048,11750464.887993548
2.460000038,37399633.04360022
2.470000029,2046409.858512879
2.480000019,2011676.1843097643
2.49000001,1992221.411871672
2.5,1948924.2035299696
2.50999999,6316679.289351295
2.519999981,1962018.2706615047
2.529999971,1852327.2366765745
2.539999962,1829759.640903795
2.549999952,1793091.7972501337
2.559999943,1811053.5191436636
2.569999933,3596701.58534794
2.579999924,1713207.0246530238
2.589999914,2134954.709259052
2.599999905,2009680.1037445248
2.609999895,1755501.3749123898
2.619999886,8658871.734147962
2.630000114,1670022.8585882294
2.640000105,1557376.360785083
2.650000095,1555310.5445116982
2.660000086,1509710.6434851582
2.670000076,1486816.0622802505
2.680000067,1596292.1773013668
2.690000057,1572331.560929042
2.700000048,1548445.505760072
2.710000038,1535559.7111408834
2.720000029,1502019.5496454742
2.730000019,1507998.57222231
2.74000001,1457202.242682946
2.75,1435318.3675025413
2.75999999,1473998.1134910986
2.769999981,1394940.0033288973
2.779999971,1411702.3283548243
2.789999962,1492450.8542968647
2.799999952,1343033.5313414126
2.809999943,1354218.837360019
2.819999933,1330324.8005661028
2.829999924,1874363.4721461772
2.839999914,1312946.2313317014
2.849999905,1235590.231577673
2.859999895,1216328.0306315443
2.869999886,1198154.1251937244
2.880000114,4734212.708493593
2.890000105,1162275.4288207197
2.900000095,1144969.4776669152
2.910000086,1127957.8531272656
2.920000076,1111222.403224282
2.930000067,1095496.2983663096
2.940000057,1081374.7119764625
2.950000048,1069518.9784738976
2.960000038,1285555.3315222205
2.970000029,1104306.373308184
2.980000019,1045628.3743132144
2.99000001,1001038.081426119
3.0,986579.3483844372
3.00999999,971647.1185314556
3.019999981,1069871.3695465734
3.029999971,2071142.542282147
3.039999962,949267.8425653528
3.049999952,1018817.6763812432
3.059999943,937895.7452273776
3.069999933,920730.1651354646
3.079999924,902633.4074190824
3.089999914,892377.4909271622
3.099999905,2431442.937991807
3.109999895,1756763.8078506824
3.119999886,1237908.829878221
3.130000114,1372464.202587653
3.140000105,2655080.375009349
3.150000095,871088.7588933862
3.160000086,798060.4507447499
3.170000076,767234.5303603992
3.180000067,799879.5512715875
3.190000057,750705.8464046497
3.200000048,736783.6438035615
3.210000038,725681.2889278883
3.220000029,716592.3957598496
3.230000019,719500.16763238
3.24000001,709263.4813934185
3.25,699475.296651315
3.25999999,690400.2042098015
3.269999981,694431.3188719264
3.279999971,834880.4796882104
3.289999962,677168.6725508545
3.299999952,657324.4165268898
3.309999943,644332.2964410308
3.319999933,715329.0840545685
3.329999924,627756.9629609317
3.339999914,613289.4245756951
3.349999905,672605.8525104192
3.359999895,595705.0829927946
3.369999886,587189.9428576251
3.380000114,578951.080853027
3.390000105,570532.9048242674
3.400000095,562341.7228000293
3.410000086,555475.945300135
3.420000076,547139.9844501088
3.430000067,538578.1481628712
3.440000057,534877.7663328825
3.450000048,523340.75837193226
3.460000038,516078.18952852377
3.470000029,552288.8556031582
3.480000019,505985.69805863465
3.49000001,515394.0474475487
3.5,508162.02783211565
3.50999999,595683.0187717023
3.519999981,478383.7027480805
3.529999971,469935.1498142435
3.539999962,463253.0178250488
3.549999952,456665.1442200496
3.559999943,450225.2857933211
3.569999933,443855.8032990224
3.579999924,438491.3613544997
3.589999914,431986.2711125245
3.599999905,429543.632945752
3.609999895,423536.14480111166
3.619999886,468291.7539622476
3.630000114,414239.7802391872
3.640000105,407510.9491422606
3.650000095,396229.4099721981
3.660000086,390637.3794890112
3.670000076,385104.0916730129
3.680000067,408791.2490831112
3.690000057,374274.2269458611
3.700000048,371674.7100545404
3.710000038,363792.0839088824
3.720000029,358668.0613515709
3.730000019,353622.5182723814
