 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,       MG_WT,  MG_FIT_UNC,  MG_SYS_UNC,  MG_TOT_UNC,       AL_WT,  AL_FIT_UNC,  AL_SYS_UNC,  AL_TOT_UNC,       SI_WT,  SI_FIT_UNC,  SI_SYS_UNC,  SI_TOT_UNC,       FE_WT,  FE_FIT_UNC,  FE_SYS_UNC,  FE_TOT_UNC
      -44.76,      120.40,      -50.51,      120.50,      -50.49,      121.91,      -44.74,      121.66,        4.09,        0.20,        1.32,        1.34,       15.33,        0.49,        3.63,        3.67,       18.02,        0.53,        4.38,        4.41,        3.64,        0.00,        4.10,        4.10
      -54.45,      120.57,      -60.20,      120.72,      -60.17,      122.53,      -54.43,      122.12,        3.71,        0.35,        1.32,        1.36,       17.35,        0.56,        3.63,        3.68,       17.80,        0.66,        4.38,        4.43,        3.04,        0.00,        4.10,        4.10
      -59.29,      120.69,      -65.04,      120.88,      -65.01,      123.02,      -59.27,      122.45,        4.81,        0.58,        1.32,        1.44,       16.03,        0.84,        3.63,        3.73,       17.70,        1.02,        4.38,        4.49,        3.13,        0.00,        4.10,        4.10
       49.72,      116.61,       44.01,      116.85,       44.02,      117.99,       49.74,      117.88,        5.09,        1.62,        1.32,        2.09,       17.45,        2.24,        3.63,        4.27,       18.92,        2.76,        4.38,        5.18,        3.24,        0.00,        4.10,        4.10
       44.83,      116.82,       39.11,      117.01,       39.13,      118.07,       44.85,      117.97,        6.40,        1.59,        1.32,        2.07,       16.76,        2.07,        3.63,        4.18,       17.12,        2.61,        4.38,        5.09,        3.63,        0.00,        4.10,        4.10
       39.94,      116.98,       34.22,      117.14,       34.24,      118.15,       39.96,      118.06,        4.47,        1.45,        1.32,        1.96,       18.65,        1.99,        3.63,        4.14,       15.54,        2.46,        4.38,        5.02,        3.88,        0.00,        4.10,        4.10
       35.05,      117.12,       29.33,      117.25,       29.35,      118.21,       35.07,      118.13,        5.14,        1.19,        1.32,        1.78,       18.69,        1.61,        3.63,        3.97,       15.59,        2.00,        4.38,        4.81,        3.92,        0.00,        4.10,        4.10
       25.29,      117.33,       19.56,      117.44,       19.58,      118.33,       25.30,      118.26,        3.53,        0.21,        1.32,        1.34,       14.91,        0.58,        3.63,        3.68,       18.39,        0.61,        4.38,        4.42,        4.99,        0.00,        4.10,        4.10
       20.41,      117.42,       14.68,      117.52,       14.70,      118.39,       20.42,      118.32,        4.42,        0.26,        1.32,        1.35,       15.95,        0.68,        3.63,        3.70,       19.80,        0.73,        4.38,        4.44,        3.98,        0.00,        4.10,        4.10
       15.53,      117.50,        9.80,      117.59,        9.82,      118.45,       15.54,      118.38,        5.11,        0.29,        1.32,        1.35,       15.69,        0.71,        3.63,        3.70,       19.05,        0.76,        4.38,        4.44,        4.57,        0.00,        4.10,        4.10
       10.66,      117.57,        4.93,      117.65,        4.94,      118.51,       10.67,      118.44,        4.87,        0.34,        1.32,        1.36,       17.37,        0.51,        3.63,        3.67,       20.28,        0.62,        4.38,        4.42,        4.65,        0.00,        4.10,        4.10
        5.78,      117.64,        0.05,      117.71,        0.07,      118.57,        5.80,      118.50,        4.77,        0.42,        1.32,        1.39,       17.24,        0.62,        3.63,        3.69,       19.59,        0.75,        4.38,        4.44,        4.02,        0.00,        4.10,        4.10
        0.92,      117.70,       -4.82,      117.77,       -4.80,      118.64,        0.93,      118.56,        5.98,        0.47,        1.32,        1.40,       17.95,        0.65,        3.63,        3.69,       16.43,        0.80,        4.38,        4.45,        4.91,        0.00,        4.10,        4.10
