Energy,Total Scattered Spectrum
1.03,1390838.916492227
1.04,1392977.5891076506
1.05,1395116.261723074
1.06,1411601.1252906807
1.07,1413595.1889413467
1.08,1415039.0921965921
1.09,1474675.2001634922
1.1,1476178.4220938855
1.11,1477681.6440193262
1.13,1367376.0645502957
1.14,1368764.2500144683
1.15,1369615.8191604463
1.16,1369543.4464374662
1.17,1370311.1534250127
1.18,1371078.8604125595
1.19,1402520.9621355645
1.2,1403305.8349984628
1.21,1404090.7078613606
1.23,1540797.3288956373
1.24,1541054.049496751
1.25,1541310.7700978648
1.26,1652399.1259173634
1.27,1652674.3035527545
1.28,1652948.574189727
1.29,1883134.6000397701
1.3,1883438.4176824603
1.31,1883382.321093495
1.33,2105860.3971296307
1.34,2105489.0356244734
1.35,2105116.598348286
1.36,2193722.665125461
1.37,2193334.4829847435
1.38,2192946.3008440253
1.39,1965722.121987315
1.4,1965043.7049694615
1.41,1964117.9682208048
1.42,1764818.8783460767
1.43,1763986.6838904258
1.44,1763154.4894347747
1.46,1631024.7969606116
1.47,1630254.2392420885
1.48,1629483.681523566
1.49,1510938.329754654
1.5,1509898.999923875
1.51,1508843.0941754647
1.52,1270021.776128519
1.53,1269128.4811072296
1.54,1268214.605676071
1.56,1079329.929239188
1.57,1078532.9223860842
1.58,1077725.2674327274
1.59,959952.031614141
1.6,959117.0026583383
1.61,958222.3587372712
1.62,851860.6426069639
1.63,851064.5599973105
1.64,850268.4773876568
1.65,739805.5940944264
1.66,739112.2856695693
1.67,738418.9772447124
1.69,704255.8653584435
1.7,703593.3889857014
1.71,702853.5289989109
1.72,747194.9738077044
1.73,746367.5691377678
1.74,745540.1644678313
1.75,852615.595721455
1.76,851668.306828819
1.77,850721.0179361835
1.79,995750.6736348493
1.8,994639.4175424954
1.81,993509.2344426496
1.82,1167312.5093543604
1.83,1165881.9877147588
1.84,1164423.5834546376
1.85,1289161.453298315
1.86,1287546.9129087862
1.87,1285932.3725192568
1.89,1160880.7350613358
1.9,1159404.0121108703
1.91,1157927.2891604055
1.92,897265.3929039391
1.93,896119.634981314
1.94,894973.8770586887
1.95,684603.5221590495
1.96,683663.3180840939
1.97,682723.1140091382
1.99,572195.4111324677
2.0,571405.242636003
2.01,570615.0741395382
2.02,483021.0180698984
2.03,482351.2193513283
2.04,481681.42063275806
2.05,396139.53639488365
2.0599999999999996,395587.9202971345
2.07,395036.3041993854
2.08,321759.069643545
2.09,321288.7237879944
2.1,320816.76247747417
2.12,280038.04283889494
2.13,279624.8563934529
2.14,279211.66994801076
2.15,265581.6414221284
2.1599999999999997,265188.0426728982
2.17,264794.443923668
2.18,254782.5680353966
2.19,254403.28747735516
2.2,254024.00691931366
2.22,241715.92189208142
2.23,241348.15899933624
2.24,240976.02980134505
2.25,235110.9545921194
2.26,234747.32104024471
2.27,234383.68748836996
2.28,217119.53621805087
2.2899999999999996,216782.16364331506
2.3,216444.7910685793
2.32,214659.4471367262
2.3299999999999996,214323.8110660966
2.34,213988.17499546686
2.35,223656.66750369384
2.36,223305.3155121433
2.37,222953.96352059272
2.38,250600.20030660203
2.3899999999999997,250200.40312015894
2.4,249800.60593371585
2.41,253409.24836212496
2.42,253003.02552338308
2.43,252596.8026846412
2.45,245787.0604350266
2.46,245390.5134906384
2.47,244993.9665462502
2.48,220458.71993772237
2.49,220101.3072066423
2.5,219743.8944755622
2.51,191487.83097154472
2.5199999999999996,191175.86923127738
2.53,190863.90749101003
2.55,152888.83571935957
2.5599999999999996,152638.9228874043
2.57,152389.010055449
2.58,130486.51295880774
2.59,130272.16796412437
2.6,130057.82296944097
2.61,116032.43616840868
2.6199999999999997,115840.89037572395
2.63,115649.3445830392
2.64,114686.175424184
2.65,114495.90976338189
2.66,114305.64410257974
2.68,98255.9070610024
2.69,98091.81044851438
2.7,97927.71383602636
2.71,89632.8678877977
2.72,89483.06367744293
2.73,89334.94695610233
2.74,83822.38242410871
2.75,83683.17469100578
2.76,83543.96695790286
2.78,84696.40290346844
2.7899999999999996,84554.80299763776
2.8,84413.20309180708
2.81,77793.90074522277
2.82,77663.18519451212
2.83,77532.46964380145
2.84,75464.77597932189
2.8499999999999996,75337.33158394645
2.86,75209.887188571
2.88,71382.60309415967
2.8899999999999997,71261.232766815
2.9,71139.86243947037
2.91,73428.71218019973
2.92,73306.45566726131
2.93,73184.1991543229
2.94,65671.29691619657
2.9499999999999997,65561.4073694523
2.96,65451.51782270805
2.97,64016.52752512314
2.98,63908.86649218766
2.99,63801.20545925216
3.01,61490.361873563415
3.0199999999999996,61386.24889248034
3.03,61282.13591139727
3.04,64217.68135337316
3.05,64108.395470572446
3.06,63999.109587771716
3.07,62271.462843218156
3.0799999999999996,62164.945225928444
3.09,62058.42760863872
3.11,63033.60430845575
3.1199999999999997,62928.58137613703
3.13,62823.55844381832
3.14,58988.53705858293
3.15,58889.76005295677
3.16,58790.98304733062
3.17,56579.20971617555
3.1799999999999997,56483.98881218557
3.19,56388.76790819557
3.21,48780.203474185655
3.22,48697.55163392719
3.23,48614.89979366874
3.24,42140.47188654767
3.25,42068.705428209985
3.26,41996.9389698723
3.27,39285.38156497992
3.28,39218.133834548105
3.29,39150.886104116275
3.31,38691.91212637839
3.32,38625.39109081178
3.33,38561.521333470104
3.34,34946.38348792975
3.3499999999999996,34888.40548298757
3.36,34830.427478045385
3.37,32993.229934958355
3.38,32938.2185199671
3.39,32883.20710497584
3.4,32504.023666099052
3.4099999999999997,32449.55547809178
3.42,32395.0872900845
3.44,32155.873444225697
3.4499999999999997,32101.62504016664
3.46,32047.376636107587
3.47,29526.63846492627
3.48,29476.572306895923
3.49,29426.50614886557
3.5,28516.51374605685
3.51,28467.91315714512
3.52,28419.312568233385
3.54,27011.18823095923
3.55,26965.18950030826
3.56,26921.10417996229
3.57,26282.285510703223
3.5799999999999996,26239.1757081535
3.59,26196.065905603762
3.6,23821.765121911518
3.61,23782.497989479332
3.62,23743.23085704715
3.63,22884.96673677526
3.64,22847.056325250876
3.65,22809.1459137265
3.67,23017.868149346923
3.68,22979.48322983009
3.69,22941.098310313264
3.7,22427.69813427054
3.71,22390.109339740295
3.72,22352.520545210053
3.73,22257.280546169404
3.74,22219.788863264013
3.75,22182.297180358622
3.77,24211.788369237987
3.78,24170.727718463007
3.79,24129.66706768803
3.8,
3.81,
3.82,
3.83,
3.84,
3.85,
3.87,
3.88,
3.89,
3.9,
3.91,
3.92,
3.93,
3.94,
3.95,
3.96,
3.97,
3.98,
4.0,
4.01,
4.02,
4.03,
4.04,
4.05,
4.06,13241.337482236584
4.069999999999999,13220.359515357539
4.079999999999999,13199.38154847849
4.1,12324.722486739203
4.109999999999999,12305.072167011684
4.119999999999999,12285.433643617003
4.13,11325.49601876066
4.14,11307.447944889182
4.1499999999999995,11289.3998710177
4.16,11059.84369394718
4.17,11042.134294082125
4.18,11024.42489421707
4.2,10883.190417056514
4.21,10865.65154509248
4.22,10848.112673128448
4.23,10218.654241224387
4.24,10202.106302798236
4.25,10185.55836437208
4.26,9784.337786265958
4.27,9768.415822137109
4.279999999999999,9752.49385800826
4.3,8970.522023205724
4.31,8955.828733055096
4.319999999999999,8941.135442904464
4.33,8958.617279564298
4.34,8944.364192519482
4.35,8930.57017999618
4.36,8250.535589304956
4.37,8237.772233008314
4.38,8225.008876711676
4.39,7903.4750387864915
4.3999999999999995,7891.191569222551
4.409999999999999,7878.908099658609
4.43,7950.739742243978
4.4399999999999995,7938.30551413514
4.449999999999999,7925.871286026303
4.46,7994.6587514277935
4.47,7982.096901268373
4.4799999999999995,7969.535051108953
4.49,7945.352142504515
4.5,7932.808638767937
4.51,7920.265135031356
4.53,7564.344783746972
4.54,7552.32689313998
4.55,7540.309002532989
4.56,6762.7660338347605
4.569999999999999,6751.970199669084
4.579999999999999,6741.174365503404
4.59,7299.935759755238
4.6,7288.226329815231
4.609999999999999,7276.516899875225
4.62,6249.461685572196
4.63,6239.388791820667
4.64,6229.756103208499
4.66,6039.961233262965
4.67,6030.870361069075
4.68,6021.779488875185
4.69,5772.056710408994
4.7,5763.3296611311325
4.71,5754.602611853271
4.72,6212.009101814477
4.7299999999999995,6202.5740715992115
4.739999999999999,6193.1390413839445
4.76,5505.8309270251075
4.77,5497.41735105087
4.779999999999999,5489.003775076633
4.79,5179.1858884600015
4.8,5171.235015949155
4.81,5163.284143438308
4.82,4804.413855570698
4.83,4797.004192596937
4.84,4789.594529623177
4.86,4803.964626325077
4.87,4796.509666187689
4.88,4789.054706055636
4.89,4462.1921699523355
4.8999999999999995,4455.235196032276
4.909999999999999,4448.278222112216
4.92,4328.547126257865
4.93,4321.766803964947
4.9399999999999995,4314.986481672029
4.95,3961.5003606903474
4.96,
4.97,
4.99,
5.0,
5.01,
5.02,
5.029999999999999,
5.039999999999999,
5.05,
5.06,
5.069999999999999,
5.09,
5.1,
5.109999999999999,
5.12,
5.13,
5.14,
5.15,
5.16,
5.17,
5.19,
5.2,
5.21,
5.22,
5.2299999999999995,
5.239999999999999,
5.25,
5.26,
5.27,
5.28,
5.29,
5.3,2454.6459044531184
5.32,2598.200487488154
5.33,2594.5359798145073
5.34,2590.871472140861
5.35,2695.087461730465
5.359999999999999,2691.27015263216
5.369999999999999,2687.4528435338552
5.38,2438.0214690614803
5.39,2434.553531103329
5.3999999999999995,2431.085593145178
5.42,2151.627561138738
5.43,2148.549487685583
5.4399999999999995,2145.4714142324274
5.45,2160.1796708152283
5.46,2157.076042936902
5.47,2153.9724150585753
5.48,2151.6104347513246
5.49,2148.5057367016843
5.5,2145.4010386520436
