energy,error,flux
1.03,0.0,128240.7
1.04,0.0,128240.7
1.05,0.0,128240.7
1.06,0.0,129557.4
1.07,0.0,129557.4
1.08,0.0,129557.4
1.09,0.0,134879.9
1.1,0.0,134879.9
1.11,0.0,134879.9
1.13,0.0,124558.0
1.14,0.0,124558.0
1.15,0.0,124558.0
1.16,0.0,124481.6
1.17,0.0,124481.6
1.18,0.0,124481.6
1.19,0.0,127265.0
1.2,0.0,127265.0
1.21,0.0,127265.0
1.23,0.0,139554.1
1.24,0.0,139554.1
1.25,0.0,139554.1
1.26,0.0,149587.4
1.27,0.0,149587.4
1.28,0.0,149587.4
1.29,0.0,170391.09999999998
1.3,0.0,170391.09999999998
1.31,0.0,170391.09999999998
1.33,0.0,190584.5
1.34,0.0,190584.5
1.35,0.0,190584.5
1.36,0.0,198641.5
1.37,0.0,198641.5
1.38,0.0,198641.5
1.39,0.0,178090.6
1.4,0.0,178090.6
1.41,0.0,178090.6
1.42,0.0,160095.2
1.43,0.0,160095.2
1.44,0.0,160095.2
1.46,0.0,148237.69999999998
1.47,0.0,148237.69999999998
1.48,0.0,148237.69999999998
1.49,0.0,137518.4
1.5,0.0,137518.4
1.51,0.0,137518.4
1.52,0.0,115832.89999999998
1.53,0.0,115832.89999999998
1.54,0.0,115832.89999999998
1.56,0.0,98724.4
1.57,0.0,98724.4
1.58,0.0,98724.4
1.59,0.0,88001.8
1.6,0.0,88001.8
1.61,0.0,88001.8
1.62,0.0,78306.79999999999
1.63,0.0,78306.79999999999
1.64,0.0,78306.79999999999
1.65,0.0,68197.40000000001
1.66,0.0,68197.40000000001
1.67,0.0,68197.40000000001
1.69,0.0,65164.6
1.7,0.0,65164.6
1.71,0.0,65164.6
1.72,0.0,69352.40000000001
1.73,0.0,69352.40000000001
1.74,0.0,69352.40000000001
1.75,0.0,79400.99999999999
1.76,0.0,79400.99999999999
1.77,0.0,79400.99999999999
1.79,0.0,93144.6
1.8,0.0,93144.6
1.81,0.0,93144.6
1.82,0.0,109564.4
1.83,0.0,109564.4
1.84,0.0,109564.4
1.85,0.0,121453.1
1.86,0.0,121453.1
1.87,0.0,121453.1
1.89,0.0,109920.4
1.9,0.0,109920.4
1.91,0.0,109920.4
1.92,0.0,85284.90000000001
1.93,0.0,85284.90000000001
1.94,0.0,85284.90000000001
1.95,0.0,65323.8
1.96,0.0,65323.8
1.97,0.0,65323.8
1.99,0.0,54899.58
2.0,0.0,54899.58
2.01,0.0,54899.58
2.02,0.0,46536.49
2.03,0.0,46536.49
2.04,0.0,46536.49
2.05,0.0,38325.36
2.0599999999999996,0.0,38325.36
2.07,0.0,38325.36
2.08,0.0,31259.85
2.09,0.0,31259.85
2.1,0.0,31259.85
2.12,0.0,27366.959999999995
2.13,0.0,27366.959999999995
2.14,0.0,27366.959999999995
2.15,0.0,26069.59
2.1599999999999997,0.0,26069.59
2.17,0.0,26069.59
2.18,0.0,25121.24
2.19,0.0,25121.24
2.2,0.0,25121.24
2.22,0.0,23975.65
2.23,0.0,23975.65
2.24,0.0,23975.65
